2024-07-02 21:07:693 INFO  OpenAccountPage :37 - Select customer[[ChromeDriver: chrome on windows (a24e00b1dfbc69b675ed6a1c4d66c8e0)] -> id: userSelect]
2024-07-02 21:07:835 INFO  OpenAccountPage :43 - Select currency[[ChromeDriver: chrome on windows (a24e00b1dfbc69b675ed6a1c4d66c8e0)] -> id: currency]
2024-07-02 21:07:919 INFO  OpenAccountPage :49 - click on button [[ChromeDriver: chrome on windows (a24e00b1dfbc69b675ed6a1c4d66c8e0)] -> xpath: //button[contains(text(),'Process')]]
2024-07-02 21:07:917 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-02 21:07:137 INFO  CustomerLoginPage :18 - click on customer[[ChromeDriver: chrome on windows (6fbce10442658792b1af8e7d12a59ead)] -> xpath: //button[contains(text(),'Customer Login')]]
2024-07-02 21:07:712 INFO  CustomerLoginPage :28 - search customer[[ChromeDriver: chrome on windows (6fbce10442658792b1af8e7d12a59ead)] -> xpath: //select[@id='userSelect']]
2024-07-02 21:07:835 INFO  CustomerLoginPage :38 - click on login [[ChromeDriver: chrome on windows (6fbce10442658792b1af8e7d12a59ead)] -> xpath: //button[contains(text(),'Login')]]
2024-07-02 21:07:397 INFO  AccountPage :34 - click on deoposit[[ChromeDriver: chrome on windows (6fbce10442658792b1af8e7d12a59ead)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 21:07:966 INFO  AccountPage :40 - click on deoposit[[ChromeDriver: chrome on windows (6fbce10442658792b1af8e7d12a59ead)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 21:07:55 INFO  AccountPage :46 - click on deoposit[[ChromeDriver: chrome on windows (6fbce10442658792b1af8e7d12a59ead)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 21:07:88 INFO  AccountPage :84 - verify transaction [[ChromeDriver: chrome on windows (6fbce10442658792b1af8e7d12a59ead)] -> xpath: //span[contains(text(),'Deposit Successful')]]
